NAME,RA,DE,SIGMA_RA,SIGMA_DE
J0000.1+6545,0.038,65.752,0.08912567586276976,0.09243708109140639
J0000.2-3738,0.061,-37.648,0.07299853022552583,0.06800158939848122
J0001.2-0748,0.321,-7.816,0.07136760134995872,0.08081254367877058
J0001.6+3535,0.404,35.59,0.1680106348635118,0.21220373939971257
J0002.0-6722,0.524,-67.37,0.10008841258169933,0.08821740753333365
J0002.2-4152,0.562,-41.883,0.20792178110793197,0.15315852813724212
J0002.6+6218,0.674,62.301,0.05878914193985674,0.05639891035084106
J0003.4+3100,0.858,31.008,0.16395832337836017,0.18013236024939222
J0003.5+5721,0.89,57.36,0.07200578813379281,0.08899531795106155
J0004.2+0843,1.057,8.727,0.08940090194165773,0.08662263707096672
J0004.2+6757,1.055,67.959,0.0997759054632668,0.09135519666492146
J0004.7-4740,1.181,-47.671,0.08337693998939028,0.08504285584032487
J0006.2+0135,1.572,1.585,0.09212295948884572,0.08211188245598468
J0006.4+3825,1.612,38.418,0.16946352435262496,0.20511241895624738
J0006.6+4618,1.651,46.305,0.1411076397146038,0.11609323249245576
J0007.0+7302,1.766,73.05,0.007000000936473439,0.007000000936473439
J0007.0+7302,1.766,73.05,0.007000000936473439,0.007000000936473439
J0007.0+7302,1.766,73.05,0.007000000936473439,0.007000000936473439
J0007.0+7302,1.766,73.05,0.007000000936473439,0.007000000936473439
J0007.0+7302,1.766,73.05,0.007000000936473439,0.007000000936473439
J0007.4+1742,1.869,17.711,0.1743210200521248,0.20968831522521628
J0007.9+4006,1.983,40.107,0.14818422737813994,0.12001432262399035
J0008.0+4713,2.017,47.228,0.030158980485309867,0.03285477147070806
J0008.3+1456,2.088,14.934,0.1384945963731622,0.12901260237546244
J0008.5+6853,2.141,68.887,0.4916343753372524,0.45547849162705184
J0008.5+6853,2.141,68.887,0.4916343753372524,0.45547849162705184
J0008.6-2340,2.174,-23.672,0.07219941209872599,0.06796502926805718
J0008.7+6558,2.191,65.968,0.1022563401200288,0.11451482095195016
J0009.1+0630,2.295,6.505,0.06164255912838898,0.061157147698028096
J0009.3+5030,2.334,50.51,0.0190977532403755,0.019906679012243942
J0009.3+5030,2.334,50.51,0.0190977532403755,0.019906679012243942
J0010.5-1425,2.629,-14.42,0.2149832112301105,0.15002409683739587
J0013.2-3954,3.304,-39.908,0.05294711153310072,0.05622813552528537
J0014.3-0455,3.586,-4.92,0.1222480921828041,0.1133508085333461
J0016.5+1713,4.135,17.221,0.21495242090055952,0.17926366667841495
J0017.1+1445,4.294,14.761,0.08499409159246125,0.08000628406782057
J0017.6-0512,4.405,-5.205,0.06610043667618673,0.07090650538220494
J0017.6-0512,4.405,-5.205,0.06610043667618673,0.07090650538220494
J0018.4+2947,4.603,29.794,0.08179678675071995,0.07532786312177481
J0018.4+2947,4.603,29.794,0.08179678675071995,0.07532786312177481
J0020.9+0323,5.231,3.395,0.055631562607563315,0.057394507304481035
J0021.6-2553,5.415,-25.887,0.04957625688156432,0.05649951483040525
J0022.1-1855,5.536,-18.923,0.03256974556433553,0.031451735744711815
J0022.1-1855,5.536,-18.923,0.03256974556433553,0.031451735744711815
J0022.5+0608,5.643,6.138,0.037926530545347406,0.03408194047479037
J0022.5+0608,5.643,6.138,0.037926530545347406,0.03408194047479037
J0022.7+4651,5.687,46.853,0.2294179643839729,0.19958056858759565
J0023.4+0923,5.865,9.389,0.08498414681643801,0.07901706654007658
J0023.5+4454,5.878,44.905,0.13792889055079458,0.10908996176647058
J0023.9-7203,5.982,-72.065,0.027000001284827123,0.027000001284827123
J0023.9-7203,5.982,-72.065,0.027000001284827123,0.027000001284827123
J0024.4+0350,6.11,3.843,0.11164210898804346,0.12015423730663578
J0026.2-4812,6.557,-48.21,0.16821533747485362,0.12066732688365939
J0030.3-4223,7.589,-42.395,0.052781225558027854,0.052222052161111865
J0030.4+0451,7.616,4.866,0.020436413220202346,0.020575545682347623
J0030.4+0451,7.616,4.866,0.020436413220202346,0.020575545682347623
J0031.2-2320,7.813,-23.343,0.1738234163686971,0.14949724980407314
J0031.6+0938,7.923,9.648,0.09307529920841903,0.09095598480704722
J0032.3-5522,8.094,-55.369,0.04765497466543606,0.054433483589912804
J0032.3-5522,8.094,-55.369,0.04765497466543606,0.054433483589912804
J0032.5+3912,8.146,39.213,0.08692269991634231,0.08412755677078106
J0033.6-1921,8.402,-19.364,0.01900000018673339,0.01900000018673339
J0033.6-1921,8.402,-19.364,0.01900000018673339,0.01900000018673339
J0033.6-1921,8.402,-19.364,0.01900000018673339,0.01900000018673339
J0034.3-0534,8.59,-5.582,0.04465948022559281,0.04236190901740007
J0035.2+1513,8.809,15.222,0.04282820268894603,0.03819352438068882
J0035.2+1513,8.809,15.222,0.04282820268894603,0.03819352438068882
J0035.9+5949,8.989,59.832,0.01785095313816908,0.017156443470875596
J0035.9+5949,8.989,59.832,0.01785095313816908,0.017156443470875596
J0035.9+5949,8.989,59.832,0.01785095313816908,0.017156443470875596
J0037.9+1239,9.477,12.652,0.042551338071252505,0.044479030319238694
J0037.9+1239,9.477,12.652,0.042551338071252505,0.044479030319238694
J0038.0-2501,9.509,-25.032,0.10585268637524156,0.10115439010727266
J0039.1+4330,9.798,43.502,0.05565055302532769,0.05441522266625223
J0039.1-0939,9.782,-9.658,0.28271263466741786,0.14456337877716297
J0039.3+6256,9.834,62.942,0.054418232394524396,0.0555936786207447
J0039.3+6256,9.834,62.942,0.054418232394524396,0.0555936786207447
