N,ID1,NAME1,RA1,DE1,SIGMA_RA1,SIGMA_DE1,ID2,NAME2,RA2,DE2,SIGMA_RA2,SIGMA_DE2
0,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14081,UNNAMED,0.72028975,67.24498202,1.3688960192519803,0.3422240048129951
1,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14082,DA1,0.68658813,67.32831638,0.6958554655740818,0.10266720552352658
2,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14084,UNNAMED,0.7202973000000001,67.27831533,1.7111200240649755,0.022814934844091188
3,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14130,UNNAMED,1.5084693999999998,67.24492933,0.02509642858347706,0.2281493433413768
4,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14131,UNNAMED,1.5501989999999999,67.24853619,0.02509642858347706,0.09125973937636477
5,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14132,UNNAMED,1.52282097,67.27603897,0.13688960396501207,0.07985226812966786
6,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14134,UNNAMED,1.39888035,67.24049533,0.02509642858347706,0.06844480198250602
7,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14136,CO,1.28095802,67.41244976,0.02509642858347706,0.045629869688182376
8,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14137,H2CO,1.43695878,67.46910276,0.02509642858347706,0.03422240099125302
9,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14138,00027+6700,1.35211745,67.27827723,0.02509642858347706,0.022814934844091188
10,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14139,00034+6658,1.52618028,67.25742753,0.02509642858347706,0.022814934844091188
11,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14155,00013+6717,0.99437794,67.56163603,0.02509642858347706,0.022814934844091188
12,6,J0005.6+6746 ,1.4155,67.7688,0.16153802,0.18574727,14350,L_1272,0.64442825,67.27831765,2.2814933110249265,0.022814934844091188
0,8,J0008.4+6926 ,2.1072,69.4409,0.07513376,0.06389021,14086,UNNAMED,2.03647128,68.37819747,0.02509642858347706,0.4562986866827536
0,11,J0009.2+6847 ,2.3045,68.7932,0.09733151,0.116129324,14086,UNNAMED,2.03647128,68.37819747,0.02509642858347706,0.4562986866827536
1,11,J0009.2+6847 ,2.3045,68.7932,0.09733151,0.116129324,14146,NGC 7822,0.89778567,68.61164035,0.6844480096259902,0.022814934844091188
0,32,J0052.1+6444 ,13.0433,64.742,0.06447471,0.07175411,14390,FT23,12.81333478,64.62679653,0.10266720552352658,0.022814934844091188
0,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15460,S 202,49.69891993,59.63185745,1.9392693062119315,0.022814934844091188
1,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15496,BFS 28,52.51480233,59.70465062,0.2281493433413768,0.022814934844091188
2,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15497,CO,52.51486486,59.70881717,0.02509642858347706,0.022814934844091188
3,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15498,03258+5927,52.47889582,59.62811891,0.02509642858347706,0.022814934844091188
4,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15499,CO,52.38659092,59.53235725,0.02509642858347706,0.009506222426743406
5,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15500,BFS 29,52.46072855,58.87150108,0.3422240048129951,0.022814934844091188
6,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15502,03234+5843,51.86779096,58.90236673,0.02509642858347706,0.022814934844091188
7,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15503,RAFGL 490,51.91133732,58.78358764,0.02509642858347706,0.1140746716706884
8,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15504,OH-A,51.95319518,58.7823179,0.02509642858347706,0.2281493433413768
9,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15505,OH-A,51.91090684,58.78275591,0.02509642858347706,0.09125973937636477
10,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15506,CH,51.93608976,58.78682728,0.02509642858347706,0.2281493433413768
11,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15507,CS,51.93525229,58.78683046,0.02509642858347706,0.022814934844091188
12,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15508,UNNAMED,51.91175606,58.78358605,0.02509642858347706,0.0005703733551662326
13,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15509,CL 490,51.91183824,58.78347463,0.02509642858347706,0.0003802489034441551
14,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15510,UNNAMED,51.912174799999995,58.78358447,0.02509642858347706,0.011407467422045594
15,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15511,UNNAMED,51.90966238,58.78359398,0.02509642858347706,0.0019012445172207754
16,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15512,H2O-E,51.90967021,58.78414952,0.02509642858347706,0.0076049780688831016
17,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15513,H2O-E,51.90711079,58.78082579999999,0.02509642858347706,0.0076049780688831016
18,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15514,H2O-E,51.912129,58.78330685,0.02509642858347706,5.703733850463208e-05
19,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15515,CO,51.91009287,58.78442571,0.0570373358353442,0.009506222426743406
20,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15516,CO,51.89830167,58.77974802,0.02509642858347706,0.011407467422045594
21,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15517,CO,51.9104881,58.782757499999995,0.02509642858347706,0.011407467422045594
22,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15518,CO,51.91091467,58.78331145,0.015209956137766203,0.0038024890344415508
23,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15519,CS,51.90972114,58.78776053,0.02509642858347706,0.011407467422045594
24,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15520,CO,51.91175214,58.78330828,0.0076049780688831016,0.0038024890344415508
25,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15521,CO,51.91175449,58.78347494,0.0076049780688831016,0.0038024890344415508
26,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15522,CO,51.90674297,58.7844384,0.6844480096259902,0.011407467422045594
27,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15523,CS,51.91079897,58.83442433,0.011407467422045594,0.005703733711022797
28,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15525,HCN,51.9352131,58.78405276,0.02509642858347706,0.015209956137766203
29,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15526,CS,51.91217088,58.783306700000004,0.02509642858347706,0.009506222426743406
30,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15527,H2,51.91055078,58.78720182,0.02509642858347706,0.0038024890344415508
31,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15528,CL 490,51.9108971,58.78325319,0.02509642858347706,0.00017111199061382268
32,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15529,E1,51.91294693,58.78488713,0.02509642858347706,0.022814934844091188
33,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15530,E2,51.91341867,58.78329919,0.02509642858347706,0.022814934844091188
34,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15531,West,51.907276200000005,58.78305301,0.02509642858347706,0.022814934844091188
35,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15532,CL 490,51.91158621,58.78342002,0.02509642858347706,0.0003802489034441551
36,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15533,UNNAMED,51.92773072,58.7879701,0.02509642858347706,0.0076049780688831016
37,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15534,UNNAMED,51.92103094,58.78799548,0.02509642858347706,0.005703733711022797
38,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15535,CS,51.9210309,58.787992700000004,0.02509642858347706,0.0038024890344415508
39,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15536,CO,51.919356,58.78800182,0.02509642858347706,0.013308711779905898
40,127,J0328.5+6114 ,52.143,61.2474,0.23607132,0.88260883,15537,03258+5842,52.47632032,58.87838620000001,0.02509642858347706,0.022814934844091188
0,130,J0330.7+5845 ,52.687,58.7523,0.18864633,0.18686579,15500,BFS 29,52.46072855,58.87150108,0.3422240048129951,0.022814934844091188
1,130,J0330.7+5845 ,52.687,58.7523,0.18864633,0.18686579,15501,VDB 15,52.54494883,58.90451368,0.02509642858347706,0.2281493433413768
2,130,J0330.7+5845 ,52.687,58.7523,0.18864633,0.18686579,15522,CO,51.90674297,58.7844384,0.6844480096259902,0.011407467422045594
3,130,J0330.7+5845 ,52.687,58.7523,0.18864633,0.18686579,15537,03258+5842,52.47632032,58.87838620000001,0.02509642858347706,0.022814934844091188
4,130,J0330.7+5845 ,52.687,58.7523,0.18864633,0.18686579,15538,CO,52.4501036,58.71320412,0.02509642858347706,0.022814934844091188
0,138,J0341.9+3153 ,55.4852,31.8952,0.11864062,0.07875693,16020,CO,55.27786744,31.16009941,0.02509642858347706,0.4562986866827536
0,144,J0359.3+3626 ,59.8321,36.4398,0.15708187,0.16219677,15976,S 220,60.06872026,36.62393541,3.6503894934620287,0.022814934844091188
1,144,J0359.3+3626 ,59.8321,36.4398,0.15708187,0.16219677,15977,NGC 1499,60.06866607,36.61560219,1.5970453013989363,0.022814934844091188
2,144,J0359.3+3626 ,59.8321,36.4398,0.15708187,0.16219677,15980,UNNAMED,60.16879215,36.60684911,0.02509642858347706,0.022814934844091188
3,144,J0359.3+3626 ,59.8321,36.4398,0.15708187,0.16219677,15991,03563+3621,59.90558347,36.50739453,0.02509642858347706,0.022814934844091188
4,144,J0359.3+3626 ,59.8321,36.4398,0.15708187,0.16219677,15992,03579+3621,60.30336942,36.50406087,0.02509642858347706,0.022814934844091188
5,144,J0359.3+3626 ,59.8321,36.4398,0.15708187,0.16219677,15993,GY 8,60.11600661,36.19039848,0.011407467422045594,0.022814934844091188
6,144,J0359.3+3626 ,59.8321,36.4398,0.15708187,0.16219677,15995,CO,59.50530327,36.64295563,0.02509642858347706,0.03422240099125302
7,144,J0359.3+3626 ,59.8321,36.4398,0.15708187,0.16219677,16001,UNNAMED,60.2940167,36.60632366,0.02509642858347706,0.4562986866827536
0,151,J0409.7+4006 ,62.4352,40.1091,0.14277074,0.1855456,15938,04067+3954,62.5352006,40.04019082,0.02509642858347706,0.022814934844091188
1,151,J0409.7+4006 ,62.4352,40.1091,0.14277074,0.1855456,15939,L_1459,62.09306187,39.63207767,2.395568033690965,0.022814934844091188
0,162,J0427.9+3632 ,66.9813,36.5339,0.15027092,0.23435456,15976,S 220,60.06872026,36.62393541,3.6503894934620287,0.022814934844091188
0,176,J0453.3+2843 ,73.334,28.7304,0.31992927,0.1796109,16153,AURIGA CLOUD,73.29756825,30.58185149,0.02509642858347706,4.562986622049854
0,187,J0512.3+3329 ,78.0817,33.4844,0.06385469,0.053573395999999995,16142,UNNAMED,78.92651648,34.30542735,0.4106688220941063,1.0266720144389851
1,187,J0512.3+3329 ,78.0817,33.4844,0.06385469,0.053573395999999995,16151,UNNAMED,78.92339445,33.85543505,0.4106688220941063,0.5703733277562316
0,196,J0531.7+1241 ,82.945,12.6888,0.12901281,0.15075527,17213,"L_1582,RNO 4",82.95187189,12.53585358,0.0718670438664686,0.022814934844091188
0,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16172,S 230,80.62635971,34.13064439,3.4222400481299515,0.022814934844091188
1,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16386,S 237,82.90332532,34.24471358,0.07985226812966786,0.022814934844091188
2,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16387,UNNAMED,82.85348072,34.269954,0.03422240099125302,0.022814934844091188
3,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16388,UNNAMED,82.84074058,34.23668146,0.02509642858347706,0.022814934844091188
4,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16389,NGC 1931,82.85336324,34.25328763,0.011407467422045594,0.022814934844091188
5,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16390,UNNAMED,82.85747292,34.24493437,0.15970453625933573,0.022814934844091188
6,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16391,UNNAMED,82.86624614,34.24766995,0.0570373358353442,0.0076049780688831016
7,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16392,UNNAMED,82.85706391,34.24604747,0.02509642858347706,0.045629869688182376
8,198,J0532.6+3358 ,83.1709,33.9832,0.16209237,0.24623924,16393,UNNAMED,82.85037685,34.24357963,0.02509642858347706,0.0570373358353442
