NAME,RA,DE,SIGMA_RA,SIGMA_DE
RCW 138,266.21858766,-28.83695552,0.02509642858347706,0.045629869688182376
S 17,266.29370632,-28.85325837,0.02509642858347706,0.045629869688182376
,266.25085224,-28.86457737,0.02509642858347706,0.022814934844091188
,266.25838342,-28.86926316,0.02509642858347706,0.03422240099125302
,266.29423327,-28.93659047,0.02509642858347706,2.2814933110249265
FIR 26,266.26872295,-28.85671285,0.02509642858347706,0.011407467422045594
dark nebula,266.20399924,-28.90258282,0.02509642858347706,0.09125973937636475
17417-2851,266.2282045,-28.86832608,0.02509642858347706,0.022814934844091188
17417-2851,266.22256122,-28.8722146,0.02509642858347706,0.022814934844091188
NH3,266.22256104,-28.87218682,0.02509642858347706,0.0076049780688831016
H2O-E,266.22757535,-28.86769023,0.02509642858347706,0.022814934844091188
,266.22795604,-28.86857729,0.02509642858347706,0.0017111199858184625
,266.22753403,-28.86774598,0.02509642858347706,0.0017111199858184625
,266.22545208,-28.86803386,0.02509642858347706,0.00015209955938565614
,266.22249802,-28.86221475,0.02509642858347706,0.00015209955938565614
,266.58029001,-29.02853852,0.02509642858347706,0.011407467422045594
17430-2900,266.56694391,-29.02693653,0.02509642858347706,0.022814934844091188
S 18,266.94613786,-29.21676727,0.045629869688182376,0.022814934844091188
,266.95835329,-29.1717073,0.060459577719306774,0.022814934844091188
CO,266.83362084,-29.21731303,0.02509642858347706,0.022814934844091188
,266.83442748,-29.20000328,0.02509642858347706,0.0005703733551662326
17441-2910,266.83601159,-29.20007893,0.02509642858347706,0.022814934844091188
OH-E,266.8340503,-29.19967177,0.02509642858347706,0.0013308711620545427
OH-E,266.8343429,-29.19980925,0.02509642858347706,0.0009506222586103877
OH-E,266.83683975,-29.19924157,0.02509642858347706,0.1140746716706884
H2O-E,266.83935428,-29.20145163,0.02509642858347706,0.019012444853486812
H2O-E,266.83893737,-29.20142588,0.02509642858347706,0.022814934844091188
CH3OH-E,266.83684682,-29.20035267,0.02509642858347706,0.03422240099125302
CS,266.83434414,-29.20000369,0.02509642858347706,0.0076049780688831016
,266.83312749,-29.19873179,0.02509642858347706,0.0015209956137766203
,266.83645308,-29.20396574,0.02509642858347706,0.0038024890344415508
FIR 16,266.63631672,-28.9915996,0.03194090725186714,0.011407467422045594
17434-2858,266.64928477,-28.99931462,0.02509642858347706,0.022814934844091188
,266.64470246,-28.99961462,0.02509642858347706,0.0019012445172207754
,266.64386547,-28.99906312,0.02509642858347706,0.00015209955938565614
,266.74289719,-29.04052799,0.0007604978068883101,0.0011407467103324651
,266.62223018,-28.9388893,0.02509642858347706,0.011407467422045594
17432-2855,266.61137926,-28.93644187,0.02509642858347706,0.022814934844091188
H2O-E,266.62430681,-28.9377681,0.02509642858347706,0.0076049780688831016
,266.62806445,-28.93886101,0.0007604978068883101,0.0011407467103324651
,266.62789213,-28.93797294,0.0011407467103324651,0.0007604978068883101
,266.62431561,-28.93915697,0.0007604978068883101,0.0011407467103324651
,266.62419129,-28.93926868,0.0003232115599595083,0.0007604978068883101
